foodid,food_name,unit,kal,select_time
188,可可粉,100g,464,0
189,玉桂西瓜子,100g,492,0
190,醬油西瓜子,100g,509,0
191,亞麻仁籽,100g,524,0
192,亞麻仁籽粉,100g,557,0
193,咖啡豆(曼特寧),100g,437,0
194,奇亞子,100g,483,0
195,白芝麻(生),100g,598,0
196,黑芝麻(生),100g,551,0
197,白芝麻(熟),100g,626,0
198,黑芝麻(熟),100g,599,0
199,黑芝麻粉,100g,601,0
200,帶殼花生(生鮮),100g,331,0
201,冷凍帶殼花生(熟),100g,344,0
202,生鮮花生仁,100g,506,0
203,去膜花生仁(生),100g,558,0
204,帶膜花生仁(生),100g,516,0
205,紅土帶殼花生(熟),100g,546,0
206,鹽酥帶殼花生(熟),100g,531,0
207,花生粉,100g,516,0
208,醃漬花生仁,100g,288,0
209,糖漬花生仁,100g,382,0
210,油炸花生仁,100g,623,0
211,蛋酥花生仁,100g,606,0
212,鹽酥花生仁,100g,557,0
213,芡實,100g,343,0
214,調味南瓜子(去殼),100g,561,0
215,調味南瓜子(帶殼),100g,564,0
216,愛玉子,100g,407,0
217,原味葵瓜子(去殼),100g,586,0
218,甘草葵瓜子(帶殼),100g,527,0
219,鹽酥葵瓜子(帶殼),100g,575,0
220,銀杏果,100g,142,0
221,生鮮蓮子,100g,141,0
222,生蓮子,100g,334,0
223,糖漬蓮子,100g,230,0
224,鷹嘴豆(大),100g,364,0
225,鷹嘴豆(小),100g,354,0
226,山竹,100g,69,0
227,木瓜平均值,100g,38,0
228,木瓜(2月取樣),100g,31,0
229,木瓜(5月取樣),100g,44,0
230,木瓜(8月取樣),100g,33,0
231,木瓜(11月取樣),100g,44,0
232,青木瓜,100g,29,0
233,安石榴,100g,67,0
234,百香果,100g,66,0
235,百香果汁,100g,73,0
236,金黃奇異果,100g,59,0
237,奇異果,100g,56,0
238,紅毛丹,100g,73,0
239,紅龍果(白肉),100g,51,0
240,紅龍果(紅肉),100g,50,0
241,北蕉平均值,100g,85,0
242,北蕉(2月取樣),100g,93,0
243,北蕉(5月取樣),100g,92,0
244,北蕉(9月取樣),100g,65,0
245,北蕉(11月取樣),100g,90,0
246,"北蕉(0天,綠皮)",100g,90,0
247,北蕉(1天),100g,87,0
248,北蕉(3天),100g,84,0
249,北蕉(7天),100g,68,0
250,李林蕉,100g,102,0
251,南華蕉,100g,124,0
252,紅皮蕉,100g,98,0
253,美人蕉,100g,111,0
254,蘋果蕉,100g,93,0
255,酪梨(綠皮),100g,65,0
256,酪梨(室溫存放0天),100g,80,0
257,酪梨(室溫存放3天),100g,84,0
258,酪梨(室溫存放6天),100g,92,0
259,榴槤,100g,136,0
260,突目1號鳳梨,100g,56,0
261,鳳梨平均值(雜交種),100g,53,0
